country,handle,contribution,contest_count,organization,rating,max_rating,friends_count,rank,duration,problem_count,avg_difficulty,avg_difficulty20,median,tag_hashing,tag_shortest paths,tag_implementation,tag_Other,tag_dsu,tag_trees,tag_brute force,tag_greedy,tag_probabilities,tag_strings,tag_binary search,tag_data structures,tag_divide and conquer,tag_two pointers,tag_sortings,tag_combinatorics,tag_string suffix structures,tag_ternary search,tag_geometry,tag_constructive algorithms,tag_math,tag_dp,tag_graphs,tag_number theory,tag_matrices,tag_graph matchings,tag_games,tag_dfs and similar,tag_bitmasks,difficulty_bucket0,difficulty_bucket1,difficulty_bucket2,difficulty_bucket3,difficulty_bucket4,difficulty_bucket5,difficulty_bucket6,difficulty_bucket7,difficulty_bucket8,difficulty_bucket9,difficulty_bucket10,difficulty_bucket11,difficulty_bucket12
India,shahsaurabh0605,0,30,DA-IICT,1581,1623,43,specialist,1193,257,1273.5408560311284,1684.313725490196,1300,2,3,136,5,3,8,46,46,1,17,25,19,0,13,24,6,1,2,4,30,67,46,13,10,1,0,3,11,3,32,55,73,53,31,11,2,0,0,0,0,0,0
India,--HK--,0,31,DA-IICT,1575,1588,12,specialist,842,109,1158.7155963302753,1609.5238095238096,1200,1,1,58,0,2,0,19,27,0,7,7,4,0,3,11,0,0,0,2,13,34,6,1,4,0,1,2,1,1,31,22,32,9,13,1,1,0,0,0,0,0,0
India,rpthegreat,0,22,DA-IICT,1572,1619,21,specialist,962,256,1162.890625,1692.1568627450981,1100,4,1,155,2,2,7,51,48,0,22,18,15,0,7,25,3,4,0,3,18,59,23,3,9,0,2,4,6,4,80,59,52,24,27,9,4,1,0,0,0,0,0
India,prerakd,0,46,DA-IICT,1560,1560,13,specialist,1577,128,1141.40625,1488.0,1100,1,1,84,0,0,2,27,24,1,9,3,5,0,0,15,8,0,0,2,9,35,7,1,3,0,1,1,1,2,25,45,38,13,3,4,0,0,0,0,0,0,0
India,gbrocks,0,22,DA-IICT,1555,1586,27,specialist,1890,213,1108.4507042253522,1523.8095238095239,1100,1,1,147,2,0,1,54,43,0,21,2,5,0,5,20,1,0,0,5,16,42,10,2,6,0,1,0,3,0,64,72,40,20,14,3,0,0,0,0,0,0,0
India,no_1999,-4,18,DA-IICT,1555,1565,10,specialist,238,122,1172.1311475409836,1625.0,1200,0,1,65,1,2,2,16,32,0,12,4,6,0,4,14,0,0,0,1,13,33,10,4,3,0,0,2,4,1,31,26,34,16,12,3,0,0,0,0,0,0,0
India,speedster7795,0,8,DA-IICT,1554,1639,6,specialist,1583,36,1361.111111111111,1900.0,1200,1,1,17,0,3,1,4,14,0,5,0,2,0,1,4,1,0,0,0,5,10,3,4,1,1,0,0,5,0,4,9,6,6,8,0,2,0,1,0,0,0,0
India,Meet.Sinojia,0,16,DA-IICT,1551,1674,28,specialist,666,153,1067.9738562091504,1510.0,1000,1,1,101,0,2,2,26,30,1,19,5,6,0,2,11,0,0,0,1,11,31,7,2,6,0,1,2,2,1,66,35,32,8,7,4,1,0,0,0,0,0,0
India,harshvasoya008,0,51,DA-IICT,1542,1690,58,specialist,918,152,1142.1052631578948,1596.6666666666667,1100,0,0,91,0,3,4,34,33,0,23,8,4,0,2,14,1,0,0,3,15,34,11,6,6,0,0,7,5,2,45,39,35,18,7,7,1,0,0,0,0,0,0
India,brightcoder,0,12,DA-IICT,1527,1659,27,specialist,1940,87,1460.9195402298851,1970.5882352941176,1500,2,1,46,0,1,2,14,16,0,2,10,7,0,6,10,6,1,0,2,5,24,16,6,14,2,0,2,5,2,5,14,19,11,22,9,4,2,0,1,0,0,0
India,pH7,0,43,DA-IICT,1527,1801,52,specialist,1329,232,1481.0344827586207,2165.217391304348,1400,4,3,102,3,2,9,40,40,2,15,17,28,3,9,27,10,1,0,8,24,51,27,6,10,3,1,3,11,7,19,39,45,36,34,26,11,12,7,2,1,0,0
India,Kavi.Prajapati,0,17,DA-IICT,1523,1597,10,specialist,589,176,1246.590909090909,1691.4285714285713,1300,1,3,98,2,2,6,32,45,0,13,10,6,0,6,19,0,0,0,5,21,34,14,12,4,0,0,2,12,2,33,33,48,33,22,4,1,2,0,0,0,0,0
India,Code.coding,0,28,DA-IICT,1522,1692,47,specialist,1566,340,1371.4705882352941,1933.8235294117646,1300,2,3,175,3,7,7,60,82,3,18,15,22,2,8,46,10,0,2,3,42,83,46,14,13,2,1,4,19,7,37,63,77,59,51,28,14,7,3,0,1,0,0
India,jakshilchavda,0,3,DA-IICT,1520,1535,8,specialist,795,9,1111.111111111111,1400.0,1100,0,0,6,0,0,0,2,0,0,1,0,1,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,3,2,2,0,0,0,0,0,0,0,0,0
India,Onkar_p,0,39,DA-IICT,1519,1519,18,specialist,1029,249,1122.0883534136547,1540.8163265306123,1100,1,3,148,3,0,3,50,53,0,25,10,12,0,4,20,1,0,0,9,29,55,22,8,11,0,2,3,8,3,76,63,62,29,14,5,0,0,0,0,0,0,0
India,HulkBuster9,0,54,DA-IICT,1517,1603,31,specialist,1187,216,1169.9074074074074,1681.3953488372092,1100,0,1,125,2,3,2,45,36,1,16,11,11,0,4,19,4,0,0,7,25,55,17,6,7,1,0,8,6,4,55,63,44,25,18,9,0,0,1,1,0,0,0
India,deepraiya17,0,44,DA-IICT,1517,1629,52,specialist,1209,207,1210.144927536232,1648.780487804878,1200,0,0,119,5,3,5,35,35,0,14,8,8,0,5,19,4,0,0,5,31,55,15,7,9,0,0,3,6,3,39,51,56,36,14,9,1,1,0,0,0,0,0
India,vinitkp,0,48,DA-IICT,1517,1734,47,specialist,2013,176,1320.4545454545455,1754.2857142857142,1300,1,1,110,1,4,5,41,48,0,9,10,8,0,9,26,1,0,0,0,17,32,14,10,7,1,0,1,12,2,18,34,49,33,28,9,4,1,0,0,0,0,0
India,modi18,0,12,DA-IICT,1515,1515,33,specialist,1154,90,1200.0,1655.5555555555557,1200,0,1,50,2,1,0,13,17,1,7,7,5,0,5,6,1,0,0,2,8,24,17,1,5,0,1,2,2,2,21,23,17,17,7,4,1,0,0,0,0,0,0
India,nisharg_patel,0,7,DA-IICT,1514,1530,18,specialist,467,148,1170.945945945946,1565.5172413793102,1200,1,2,88,1,0,1,25,36,0,16,9,10,0,6,18,1,0,0,3,14,35,15,3,7,0,1,1,3,2,33,36,41,27,7,4,0,0,0,0,0,0,0
India,nikhiljn585,0,16,DA-IICT,1513,1582,4,specialist,1527,40,1200.0,1512.5,1200,1,1,28,0,1,0,12,11,0,6,1,4,0,1,6,0,0,0,0,1,5,3,2,0,0,0,0,3,1,5,13,12,8,2,0,0,0,0,0,0,0,0
